,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,NumInitials,C_s,C_D,difference,y_neg_invades,y_pos_invades,x_neg_invades,x_pos_invades
651,0.060598,0.933193,0.5,2.0,-1.6,0.25,0.499139,0.499139,0.001721,0.875215,0.875215,3.619699,64,-0.0002390103026193,-1.261544135060459e-05,0.0,True,False,True,False
652,0.060598,0.933193,0.5,2.0,-1.6,0.5,0.499078,0.499078,0.001844,0.750461,0.750461,3.379302,64,-0.0056834470067675,-1.2407630665000115e-05,0.0,True,False,True,False
653,0.060598,0.933193,0.5,2.0,-1.6,0.75,0.499007,0.499007,0.001986,0.625745,0.625745,3.138977,64,-0.0119596000884541,-1.1995409564578434e-05,0.0,True,False,True,False
654,0.060598,0.933193,0.5,2.0,-1.6,1.0,0.498924,0.498924,0.002151,0.501076,0.501076,2.898744,64,-0.0192732228733149,-1.1270995853087068e-05,0.0,True,False,True,False
655,0.060598,0.933193,0.5,2.0,-1.4,0.0,0.499192,0.499192,0.001616,1.0,1.0,3.860147,64,0.0045223697980219,-1.2684246515689136e-05,0.0,True,False,False,True
656,0.060598,0.933193,0.5,2.0,-1.4,0.25,0.499138,0.499138,0.001724,0.875216,0.875216,3.619691,64,-0.0002451140503361,-1.2630135689173564e-05,0.0,True,False,True,False
657,0.060598,0.933193,0.5,2.0,-1.4,0.5,0.499076,0.499076,0.001848,0.750462,0.750462,3.379295,64,-0.0056894761116396,-1.2434587408139287e-05,0.0,True,False,True,False
658,0.060598,0.933193,0.5,2.0,-1.4,0.75,0.499005,0.499005,0.00199,0.625746,0.625746,3.138972,64,-0.0119654290716634,-1.201960766627326e-05,0.0,True,False,True,False
659,0.060598,0.933193,0.5,2.0,-1.4,1.0,0.498922,0.498922,0.002156,0.501078,0.501078,2.898742,64,-0.0192786352830382,-1.1291998326670622e-05,0.0,True,False,True,False
660,0.060598,0.933193,0.5,2.0,-1.2,0.0,0.499191,0.499191,0.001619,1.0,1.0,3.860137,64,0.0045161951546952,-1.2699977658685375e-05,0.0,True,False,False,True
661,0.060598,0.933193,0.5,2.0,-1.2,0.25,0.499136,0.499136,0.001727,0.875216,0.875216,3.619682,64,-0.000251301170394,-1.2659471250021502e-05,0.0,True,False,True,False
662,0.060598,0.933193,0.5,2.0,-1.2,0.5,0.499075,0.499075,0.001851,0.750463,0.750463,3.379288,64,-0.0056955052569755,-1.2448087034368844e-05,0.0,True,False,True,False
663,0.060598,0.933193,0.5,2.0,-1.2,0.75,0.499003,0.499003,0.001994,0.625748,0.625748,3.138968,64,-0.01197123092084,-1.2043821331334172e-05,0.0,True,False,True,False
664,0.060598,0.933193,0.5,2.0,-1.2,1.0,0.49892,0.49892,0.00216,0.50108,0.50108,2.89874,64,-0.019284068078697,-1.1313000995388884e-05,0.0,True,False,True,False
665,0.060598,0.933193,0.5,2.0,-1.0,0.0,0.499189,0.499189,0.001621,1.0,1.0,3.860127,64,0.0045099671482412,-1.2731407206359812e-05,0.0,True,False,False,True
666,0.060598,0.933193,0.5,2.0,-1.0,0.25,0.499135,0.499135,0.00173,0.875216,0.875216,3.619674,64,-0.0002574811385452,-1.2674151339800984e-05,0.0,True,False,True,False
667,0.060598,0.933193,0.5,2.0,-1.0,0.5,0.499073,0.499073,0.001854,0.750464,0.750464,3.379281,64,-0.0057015801615691,-1.2475044096722793e-05,0.0,True,False,True,False
668,0.060598,0.933193,0.5,2.0,-1.0,0.75,0.499001,0.499001,0.001998,0.625749,0.625749,3.138963,64,-0.011977106887087,-1.2068019770262411e-05,0.0,True,False,True,False
669,0.060598,0.933193,0.5,2.0,-1.0,1.0,0.498918,0.498918,0.002165,0.501082,0.501082,2.898737,64,-0.0192895279150327,-1.13340077692203e-05,0.0,True,False,True,False
670,0.060598,0.933193,0.5,2.0,-0.8,0.0,0.499188,0.499188,0.001624,1.0,1.0,3.860117,64,0.0045037543474526,-1.2747138552119935e-05,0.0,True,False,False,True
671,0.060598,0.933193,0.5,2.0,-0.8,0.25,0.499134,0.499134,0.001733,0.875217,0.875217,3.619665,64,-0.0002636348467424,-1.2688849497639102e-05,0.0,True,False,True,False
